PromptName,PromptSpeechPrefix,PromptSpeechPostfix,PromptText
private_call_handling,,,Aceptar Privadas
stop,,,Parar
one_line,,,1 linea
two_lines,,,2 lineas
new_channel,,,Nuevo canal
priority_order,,,Orden
dmr_beep,,,D M R bip
start,,,Inicio
both,,,Ambos
vox_threshold,,,Ganancia del VOX
vox_tail,,,cola del VOX
audio_prompt,,,Voces del gualky
silent,,,Silencio
normal,,,Normal
beep,,,Pitido
voice_prompt_level_1,,,Voz modo 1
transmitTalkerAlias,,,Transmitir Talker Alias
squelch_VHF,,,V H F escuelch
squelch_220,,,220 Megahercios escuelch
squelch_UHF,,,U H F escuelch
display_background_colour,,,Color del fondo
openGD77,,,Open G D 77
openGD77S,,,Open G D 77 S
openDM1801,,,Open D M 18 0 1
openRD5R,,,Open R D 5 R
gitCommit,,,Git revision
voice_prompt_level_2,,,Voz L 2
voice_prompt_level_3,,,Voz L 3
dmr_filter,,,Filtro D M R
dmr_cc_filter,,,Filtro Codigo Color
dmr_ts_filter,,,Filtro Timeslot
dtmf_contact_list,,,Lista DTMF
channel_power,,,Channel Power
channel_power_from_master,,,Channel Power From Master
set_quickkey,,,Set Quickkey
dual_watch,,,Dual Watch
info,,,Information
pwr,,,Power
user_power,,,User power level
temperature,,,Temperature
celcius,,,Celcius
fahrenheit,,,Fahrenheit
radio_infos,,,Radio information
temperature_calibration,,,Temperature calibration
